gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000109907,Gm45321,predicted gene 45321,,
ENSMUSG00000026674,Ddr2,"discoidin domain receptor family, member 2",NCBIGene:18214,
ENSMUSG00000096014,Sox1,SRY (sex determining region Y)-box 1,NCBIGene:20664,
ENSMUSG00000030069,Prok2,prokineticin 2,NCBIGene:50501,
ENSMUSG00000110373,Gm42303,"predicted gene, 42303",,
ENSMUSG00000003617,Cp,ceruloplasmin,NCBIGene:12870,
ENSMUSG00000068859,Sp9,trans-acting transcription factor 9,NCBIGene:381373,
ENSMUSG00000071112,Spx,spexin hormone,NCBIGene:319552,
ENSMUSG00000115469,Gm49227,"predicted gene, 49227",,
ENSMUSG00000029219,Slc10a4,"solute carrier family 10 (sodium/bile acid cotransporter family), member 4",NCBIGene:231290,
ENSMUSG00000027508,Pag1,phosphoprotein associated with glycosphingolipid microdomains 1,NCBIGene:94212,
ENSMUSG00000085125,Gm16070,predicted gene 16070,NCBIGene:102634913,
ENSMUSG00000095105,Edaradd,EDAR (ectodysplasin-A receptor)-associated death domain,NCBIGene:171211,
ENSMUSG00000025780,Itih5,inter-alpha (globulin) inhibitor H5,NCBIGene:209378,
ENSMUSG00000096936,Gm3510,predicted gene 3510,,
ENSMUSG00000064179,Tnnt1,"troponin T1, skeletal, slow",NCBIGene:21955,
ENSMUSG00000053007,Creb5,cAMP responsive element binding protein 5,NCBIGene:231991,
ENSMUSG00000024725,Ostf1,osteoclast stimulating factor 1,NCBIGene:20409,
ENSMUSG00000021919,Chat,choline acetyltransferase,NCBIGene:12647,
ENSMUSG00000027765,P2ry1,"purinergic receptor P2Y, G-protein coupled 1",NCBIGene:18441,
ENSMUSG00000039959,Hip1,huntingtin interacting protein 1,NCBIGene:215114,
ENSMUSG00000047844,Bex4,brain expressed X-linked 4,NCBIGene:406217,
ENSMUSG00000025037,Maoa,monoamine oxidase A,NCBIGene:17161,
ENSMUSG00000035273,Hpse,heparanase,NCBIGene:15442,
ENSMUSG00000098284,A330093E20Rik,RIKEN cDNA A330093E20 gene,,
ENSMUSG00000024640,Psat1,phosphoserine aminotransferase 1,NCBIGene:107272,
ENSMUSG00000045094,Arhgef37,Rho guanine nucleotide exchange factor (GEF) 37,NCBIGene:328967,
ENSMUSG00000037847,Nmrk1,nicotinamide riboside kinase 1,NCBIGene:225994,
ENSMUSG00000030110,Ret,ret proto-oncogene,NCBIGene:19713,
ENSMUSG00000070733,Fryl,FRY like transcription coactivator,NCBIGene:72313,
ENSMUSG00000029642,Polr1d,polymerase (RNA) I polypeptide D,NCBIGene:20018,
ENSMUSG00000021365,Nedd9,"neural precursor cell expressed, developmentally down-regulated gene 9",NCBIGene:18003,
ENSMUSG00000045349,Sh2d5,SH2 domain containing 5,NCBIGene:230863,
ENSMUSG00000087597,Gm15345,predicted gene 15345,,
ENSMUSG00000027524,Edn3,endothelin 3,NCBIGene:13616,
ENSMUSG00000027164,Traf6,TNF receptor-associated factor 6,NCBIGene:22034,
ENSMUSG00000007872,Id3,inhibitor of DNA binding 3,NCBIGene:15903,
ENSMUSG00000050192,Eif5a2,eukaryotic translation initiation factor 5A2,NCBIGene:208691,
ENSMUSG00000032010,Usp2,ubiquitin specific peptidase 2,NCBIGene:53376,
ENSMUSG00000040009,Gnaz,"guanine nucleotide binding protein, alpha z subunit",NCBIGene:14687,
ENSMUSG00000027506,Tpd52,tumor protein D52,NCBIGene:21985,
ENSMUSG00000027499,Pkia,"protein kinase inhibitor, alpha",NCBIGene:18767,
ENSMUSG00000034683,Ppp1r1c,"protein phosphatase 1, regulatory inhibitor subunit 1C",NCBIGene:75276,
ENSMUSG00000050912,Tmem123,transmembrane protein 123,NCBIGene:71929,
ENSMUSG00000056854,Pou3f4,"POU domain, class 3, transcription factor 4",NCBIGene:18994,
ENSMUSG00000039384,Dusp10,dual specificity phosphatase 10,NCBIGene:63953,
ENSMUSG00000044447,Dock5,dedicator of cytokinesis 5,NCBIGene:68813,
ENSMUSG00000075254,Heg1,heart development protein with EGF-like domains 1,NCBIGene:77446,
ENSMUSG00000015090,Ptgds,prostaglandin D2 synthase (brain),NCBIGene:19215,
ENSMUSG00000091475,2810468N07Rik,RIKEN cDNA 2810468N07 gene,NCBIGene:72834,
ENSMUSG00000033083,Tbc1d4,"TBC1 domain family, member 4",NCBIGene:210789,
ENSMUSG00000035493,Tgfbi,"transforming growth factor, beta induced",NCBIGene:21810,
ENSMUSG00000078670,Fam174b,"family with sequence similarity 174, member B",NCBIGene:100038347,
ENSMUSG00000022463,Srebf2,sterol regulatory element binding factor 2,NCBIGene:20788,
ENSMUSG00000021987,Mtmr6,myotubularin related protein 6,NCBIGene:219135,
ENSMUSG00000032120,C2cd2l,C2 calcium-dependent domain containing 2-like,NCBIGene:71764,
ENSMUSG00000117026,C87487,expressed sequence C87487,,
ENSMUSG00000018126,Baiap2l2,BAI1-associated protein 2-like 2,NCBIGene:207495,
ENSMUSG00000032420,Nt5e,"5' nucleotidase, ecto",NCBIGene:23959,
ENSMUSG00000050473,Slc35d3,"solute carrier family 35, member D3",NCBIGene:76157,
ENSMUSG00000044217,Aqp5,aquaporin 5,NCBIGene:11830,
ENSMUSG00000054252,Fgfr3,fibroblast growth factor receptor 3,NCBIGene:14184,
ENSMUSG00000044340,Phlpp1,PH domain and leucine rich repeat protein phosphatase 1,NCBIGene:98432,
ENSMUSG00000040451,Sgms1,sphingomyelin synthase 1,NCBIGene:208449,
ENSMUSG00000114437,4930415C11Rik,RIKEN cDNA 4930415C11 gene,,
ENSMUSG00000006764,Tph2,tryptophan hydroxylase 2,NCBIGene:216343,
ENSMUSG00000041654,Slc39a11,"solute carrier family 39 (metal ion transporter), member 11",NCBIGene:69806,
ENSMUSG00000110874,D030045P18Rik,RIKEN cDNA D030045P18 gene,NCBIGene:320363,
ENSMUSG00000041301,Cftr,cystic fibrosis transmembrane conductance regulator,NCBIGene:12638,
ENSMUSG00000035967,Ints6l,integrator complex subunit 6 like,NCBIGene:236790,
ENSMUSG00000030759,Far1,fatty acyl CoA reductase 1,NCBIGene:67420,
ENSMUSG00000027610,Gss,glutathione synthetase,NCBIGene:14854,
ENSMUSG00000094707,A830019P07Rik,RIKEN cDNA A830019P07 gene,NCBIGene:329056,
ENSMUSG00000029231,Pdgfra,"platelet derived growth factor receptor, alpha polypeptide",NCBIGene:18595,
ENSMUSG00000055048,Gm9962,predicted gene 9962,NCBIGene:791383,
ENSMUSG00000025743,Sdc3,syndecan 3,NCBIGene:20970,
ENSMUSG00000037016,Frem2,Fras1 related extracellular matrix protein 2,NCBIGene:242022,
ENSMUSG00000041135,Ripk2,receptor (TNFRSF)-interacting serine-threonine kinase 2,NCBIGene:192656,
ENSMUSG00000002797,Ggct,gamma-glutamyl cyclotransferase,NCBIGene:110175,
ENSMUSG00000054453,Sytl5,synaptotagmin-like 5,NCBIGene:236643,
ENSMUSG00000035356,Nfkbiz,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta",NCBIGene:80859,
ENSMUSG00000021575,Ahrr,aryl-hydrocarbon receptor repressor,NCBIGene:11624,
ENSMUSG00000025068,Gsto1,glutathione S-transferase omega 1,NCBIGene:14873,
ENSMUSG00000025762,Larp1b,"La ribonucleoprotein domain family, member 1B",NCBIGene:214048,
ENSMUSG00000060798,Intu,inturned planar cell polarity protein,NCBIGene:380614,
ENSMUSG00000032291,Crabp1,cellular retinoic acid binding protein I,NCBIGene:12903,
ENSMUSG00000037447,Arid5a,AT rich interactive domain 5A (MRF1-like),NCBIGene:214855,
ENSMUSG00000024087,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",NCBIGene:13078,
ENSMUSG00000113771,Gm36529,"predicted gene, 36529",NCBIGene:102640479,
ENSMUSG00000032035,Ets1,"E26 avian leukemia oncogene 1, 5' domain",NCBIGene:23871,
ENSMUSG00000013275,Slc41a1,"solute carrier family 41, member 1",NCBIGene:98396,
ENSMUSG00000034037,Fgd5,"FYVE, RhoGEF and PH domain containing 5",NCBIGene:232237,
ENSMUSG00000035299,Mid1,midline 1,NCBIGene:17318,
ENSMUSG00000049115,Agtr1a,"angiotensin II receptor, type 1a",NCBIGene:11607,
ENSMUSG00000031214,Ophn1,oligophrenin 1,NCBIGene:94190,
ENSMUSG00000056313,Tcim,transcriptional and immune response regulator,NCBIGene:69068,
ENSMUSG00000026614,Slc30a10,"solute carrier family 30, member 10",NCBIGene:226781,
ENSMUSG00000020376,Rnf130,ring finger protein 130,NCBIGene:59044,
ENSMUSG00000007682,Dio2,"deiodinase, iodothyronine, type II",NCBIGene:13371,
ENSMUSG00000111758,Gm30373,"predicted gene, 30373",,
ENSMUSG00000109995,B020031H02Rik,RIKEN cDNA B020031H02 gene,,
ENSMUSG00000112343,Sfta3-ps,"surfactant associated 3, pseudogene",NCBIGene:104798,
ENSMUSG00000001496,Nkx2-1,NK2 homeobox 1,NCBIGene:21869,
ENSMUSG00000030666,Calcb,"calcitonin-related polypeptide, beta",NCBIGene:116903,
ENSMUSG00000055775,Myh8,"myosin, heavy polypeptide 8, skeletal muscle, perinatal",NCBIGene:17885,
ENSMUSG00000014725,Adam28,a disintegrin and metallopeptidase domain 28,NCBIGene:13522,
ENSMUSG00000026971,Itgb6,integrin beta 6,NCBIGene:16420,
ENSMUSG00000028364,Tnc,tenascin C,NCBIGene:21923,
ENSMUSG00000028927,Padi2,"peptidyl arginine deiminase, type II",NCBIGene:18600,
ENSMUSG00000074802,Gas2l3,growth arrest-specific 2 like 3,NCBIGene:237436,
ENSMUSG00000104301,Wdr49,WD repeat domain 49,NCBIGene:213248,
ENSMUSG00000036131,Frmd7,FERM domain containing 7,NCBIGene:385354,
ENSMUSG00000031075,Ano1,"anoctamin 1, calcium activated chloride channel",NCBIGene:101772,
ENSMUSG00000021175,Cdca7l,cell division cycle associated 7 like,NCBIGene:217946,
ENSMUSG00000031255,Sytl4,synaptotagmin-like 4,NCBIGene:27359,
ENSMUSG00000024227,Pdzph1,PDZ and pleckstrin homology domains 1,NCBIGene:69239,
ENSMUSG00000056215,Lrguk,leucine-rich repeats and guanylate kinase domain containing,NCBIGene:74354,
ENSMUSG00000049404,Rarres1,retinoic acid receptor responder (tazarotene induced) 1,NCBIGene:109222,
ENSMUSG00000113244,Gm31218,"predicted gene, 31218",NCBIGene:102633383,
ENSMUSG00000020218,Wif1,Wnt inhibitory factor 1,NCBIGene:24117,
ENSMUSG00000110747,Gm35657,"predicted gene, 35657",,
ENSMUSG00000097157,Gm26512,"predicted gene, 26512",,
ENSMUSG00000000957,Mmp14,matrix metallopeptidase 14 (membrane-inserted),NCBIGene:17387,
ENSMUSG00000029306,Ibsp,integrin binding sialoprotein,NCBIGene:15891,
ENSMUSG00000069085,Dytn,dystrotelin,NCBIGene:241073,
ENSMUSG00000006678,Pola1,"polymerase (DNA directed), alpha 1",NCBIGene:18968,
ENSMUSG00000059288,Cdyl,"chromodomain protein, Y chromosome-like",NCBIGene:12593,
ENSMUSG00000021835,Bmp4,bone morphogenetic protein 4,NCBIGene:12159,
ENSMUSG00000025094,Slc18a2,"solute carrier family 18 (vesicular monoamine), member 2",NCBIGene:214084,
ENSMUSG00000028631,Kcnq4,"potassium voltage-gated channel, subfamily Q, member 4",NCBIGene:60613,
ENSMUSG00000013611,Snx31,sorting nexin 31,NCBIGene:66696,
ENSMUSG00000106734,Gm20559,"predicted gene, 20559",,
ENSMUSG00000029185,Fam114a1,"family with sequence similarity 114, member A1",NCBIGene:68303,
ENSMUSG00000057615,Ldoc1,regulator of NFKB signaling,NCBIGene:434784,
ENSMUSG00000025938,Slco5a1,"solute carrier organic anion transporter family, member 5A1",NCBIGene:240726,
ENSMUSG00000009633,G0s2,G0/G1 switch gene 2,NCBIGene:14373,
ENSMUSG00000053398,Phgdh,3-phosphoglycerate dehydrogenase,NCBIGene:236539,
ENSMUSG00000052415,Tchh,trichohyalin,NCBIGene:99681,
ENSMUSG00000097166,9330179D12Rik,RIKEN cDNA 9330179D12 gene,NCBIGene:77558,
ENSMUSG00000021094,Dhrs7,dehydrogenase/reductase (SDR family) member 7,NCBIGene:66375,
ENSMUSG00000028893,Sesn2,sestrin 2,NCBIGene:230784,
ENSMUSG00000060716,Plekhh1,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 1",NCBIGene:211945,
ENSMUSG00000042607,Asb4,ankyrin repeat and SOCS box-containing 4,NCBIGene:65255,
ENSMUSG00000079502,Cfap77,cilia and flagella associated protein 77,NCBIGene:329375,
ENSMUSG00000045005,Fzd5,frizzled class receptor 5,NCBIGene:14367,
ENSMUSG00000085620,G630018N14Rik,RIKEN cDNA G630018N14 gene,,
ENSMUSG00000054457,9430021M05Rik,RIKEN cDNA 9430021M05 gene,NCBIGene:77288,
ENSMUSG00000004791,Pgf,placental growth factor,NCBIGene:18654,
ENSMUSG00000115149,9330188P03Rik,RIKEN cDNA 9330188P03 gene,NCBIGene:380930,
ENSMUSG00000031665,Sall1,spalt like transcription factor 1,NCBIGene:58198,
ENSMUSG00000031775,Pllp,plasma membrane proteolipid,NCBIGene:67801,
ENSMUSG00000039191,Rbpj,recombination signal binding protein for immunoglobulin kappa J region,NCBIGene:19664,
ENSMUSG00000030717,Nupr1,nuclear protein transcription regulator 1,NCBIGene:56312,
ENSMUSG00000060212,Pcnx2,pecanex homolog 2,NCBIGene:270109,
ENSMUSG00000090946,Ccdc71l,coiled-coil domain containing 71 like,NCBIGene:72123,
ENSMUSG00000022754,Tmem45a,transmembrane protein 45a,NCBIGene:56277,
ENSMUSG00000028584,Lrrc38,leucine rich repeat containing 38,NCBIGene:242735,
ENSMUSG00000046750,Selenov,selenoprotein V,NCBIGene:280621,
ENSMUSG00000033453,Adamts15,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15",NCBIGene:235130,
ENSMUSG00000071547,Nt5dc2,5'-nucleotidase domain containing 2,NCBIGene:70021,
ENSMUSG00000021972,Hmbox1,homeobox containing 1,NCBIGene:219150,
ENSMUSG00000041757,Plekha6,"pleckstrin homology domain containing, family A member 6",NCBIGene:240753,
ENSMUSG00000070369,Itgad,"integrin, alpha D",NCBIGene:381924,
ENSMUSG00000099895,Gm28153,predicted gene 28153,,
ENSMUSG00000029086,Prom1,prominin 1,NCBIGene:19126,
ENSMUSG00000087437,Gm13112,predicted gene 13112,,
ENSMUSG00000071711,Mpst,mercaptopyruvate sulfurtransferase,NCBIGene:246221,
ENSMUSG00000047638,Nr1h4,"nuclear receptor subfamily 1, group H, member 4",NCBIGene:20186,
ENSMUSG00000038267,Slc22a23,"solute carrier family 22, member 23",NCBIGene:73102,
ENSMUSG00000001666,Ddt,D-dopachrome tautomerase,NCBIGene:13202,
ENSMUSG00000031297,Slc7a3,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3",NCBIGene:11989,
ENSMUSG00000084964,Gm15503,predicted gene 15503,,
ENSMUSG00000036278,Macrod1,MACRO domain containing 1,NCBIGene:107227,
ENSMUSG00000033214,Slitrk5,"SLIT and NTRK-like family, member 5",NCBIGene:75409,
ENSMUSG00000031636,Pdlim3,PDZ and LIM domain 3,NCBIGene:53318,
ENSMUSG00000047497,Adamts12,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12",NCBIGene:239337,
ENSMUSG00000031971,Ccsap,"centriole, cilia and spindle associated protein",NCBIGene:73420,
ENSMUSG00000110523,C230057M02Rik,RIKEN cDNA C230057M02 gene,,
ENSMUSG00000024897,Apba1,"amyloid beta (A4) precursor protein binding, family  A, member 1",NCBIGene:319924,
ENSMUSG00000038256,Bcl9,B cell CLL/lymphoma 9,NCBIGene:77578,
ENSMUSG00000027533,Fabp5,"fatty acid binding protein 5, epidermal",NCBIGene:16592,
ENSMUSG00000037235,Mxd4,Max dimerization protein 4,NCBIGene:17122,
ENSMUSG00000052302,Tbc1d30,"TBC1 domain family, member 30",NCBIGene:74694,
ENSMUSG00000064210,Ano6,anoctamin 6,NCBIGene:105722,
ENSMUSG00000004113,Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit",NCBIGene:12287,
ENSMUSG00000066607,Insyn1,inhibitory synaptic factor 1,NCBIGene:319477,
ENSMUSG00000040520,Manea,"mannosidase, endo-alpha",NCBIGene:242362,
ENSMUSG00000056612,Ppp1r14b,"protein phosphatase 1, regulatory inhibitor subunit 14B",NCBIGene:18938,
ENSMUSG00000049939,Lrrc4,leucine rich repeat containing 4,NCBIGene:192198,
ENSMUSG00000114504,Gm48321,"predicted gene, 48321",,
ENSMUSG00000023186,Vwa5a,von Willebrand factor A domain containing 5A,NCBIGene:67776,
ENSMUSG00000038280,Ostm1,osteopetrosis associated transmembrane protein 1,NCBIGene:14628,
ENSMUSG00000043670,Diras1,"DIRAS family, GTP-binding RAS-like 1",NCBIGene:208666,
ENSMUSG00000041966,Dcaf17,DDB1 and CUL4 associated factor 17,NCBIGene:75763,
ENSMUSG00000048385,Scrt1,scratch family zinc finger 1,NCBIGene:170729,
ENSMUSG00000027630,Tbl1xr1,transducin (beta)-like 1X-linked receptor 1,NCBIGene:81004,
ENSMUSG00000029754,Dlx6,distal-less homeobox 6,NCBIGene:13396,
ENSMUSG00000023391,Dlx2,distal-less homeobox 2,NCBIGene:13392,
ENSMUSG00000028988,Ctnnbip1,catenin beta interacting protein 1,NCBIGene:67087,
ENSMUSG00000064043,Trerf1,transcriptional regulating factor 1,NCBIGene:224829,
ENSMUSG00000019124,Scrn1,secernin 1,NCBIGene:69938,
ENSMUSG00000043460,Elfn2,"leucine rich repeat and fibronectin type III, extracellular 2",NCBIGene:207393,
ENSMUSG00000020015,Cdk17,cyclin-dependent kinase 17,NCBIGene:237459,
ENSMUSG00000040794,C1qtnf4,C1q and tumor necrosis factor related protein 4,NCBIGene:67445,
ENSMUSG00000046876,Atxn1,ataxin 1,NCBIGene:20238,
ENSMUSG00000046204,Pnma2,paraneoplastic antigen MA2,NCBIGene:239157,
ENSMUSG00000074754,Smim26,small integral membrane protein 26,NCBIGene:228715,
ENSMUSG00000042105,Inpp5f,inositol polyphosphate-5-phosphatase F,NCBIGene:101490,
ENSMUSG00000100826,Snhg14,small nucleolar RNA host gene 14,NCBIGene:16353,
ENSMUSG00000035640,Cbarp,"calcium channel, voltage-dependent, beta subunit associated regulatory protein",NCBIGene:100503659,
ENSMUSG00000030313,Dennd5b,DENN/MADD domain containing 5B,NCBIGene:320560,
ENSMUSG00000026667,Uhmk1,U2AF homology motif (UHM) kinase 1,NCBIGene:16589,
ENSMUSG00000021680,Crhbp,corticotropin releasing hormone binding protein,NCBIGene:12919,
ENSMUSG00000005220,Corin,"corin, serine peptidase",NCBIGene:53419,
ENSMUSG00000000214,Th,tyrosine hydroxylase,NCBIGene:21823,
ENSMUSG00000031521,Aga,aspartylglucosaminidase,NCBIGene:11593,
ENSMUSG00000039824,Myl6b,"myosin, light polypeptide 6B",NCBIGene:216459,
ENSMUSG00000048007,Timm8a1,translocase of inner mitochondrial membrane 8A1,NCBIGene:30058,
ENSMUSG00000019256,Ahr,aryl-hydrocarbon receptor,NCBIGene:11622,
ENSMUSG00000015247,Nipsnap3b,nipsnap homolog 3B,NCBIGene:66536,
ENSMUSG00000040010,Slc7a5,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5",NCBIGene:20539,
ENSMUSG00000024697,Gna14,"guanine nucleotide binding protein, alpha 14",NCBIGene:14675,
ENSMUSG00000023328,Ache,acetylcholinesterase,NCBIGene:11423,
ENSMUSG00000003476,Crhr2,corticotropin releasing hormone receptor 2,NCBIGene:12922,
ENSMUSG00000038151,Prdm1,"PR domain containing 1, with ZNF domain",NCBIGene:12142,
ENSMUSG00000032231,Anxa2,annexin A2,NCBIGene:12306,
ENSMUSG00000064373,Selenop,selenoprotein P,NCBIGene:20363,
ENSMUSG00000045382,Cxcr4,chemokine (C-X-C motif) receptor 4,NCBIGene:12767,
ENSMUSG00000074466,Gm15417,predicted gene 15417,NCBIGene:545539,
ENSMUSG00000057286,St6galnac2,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",NCBIGene:20446,
ENSMUSG00000055612,Cdca7,cell division cycle associated 7,NCBIGene:66953,
ENSMUSG00000102215,Gm2464,predicted gene 2464,NCBIGene:100039861,
ENSMUSG00000034459,Ifit1,interferon-induced protein with tetratricopeptide repeats 1,NCBIGene:15957,
ENSMUSG00000086454,Platr14,pluripotency associated transcript 14,NCBIGene:74959,
ENSMUSG00000048138,Dmrt2,doublesex and mab-3 related transcription factor 2,NCBIGene:226049,
ENSMUSG00000022041,Chrna2,"cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)",NCBIGene:110902,
ENSMUSG00000029671,Wnt16,"wingless-type MMTV integration site family, member 16",NCBIGene:93735,
ENSMUSG00000046997,Spsb4,splA/ryanodine receptor domain and SOCS box containing 4,NCBIGene:211949,
ENSMUSG00000060180,Myh13,"myosin, heavy polypeptide 13, skeletal muscle",NCBIGene:544791,
ENSMUSG00000057003,Myh4,"myosin, heavy polypeptide 4, skeletal muscle",NCBIGene:17884,
ENSMUSG00000032278,Paqr5,progestin and adipoQ receptor family member V,NCBIGene:74090,
ENSMUSG00000097071,4930544I03Rik,RIKEN cDNA 4930544I03 gene,,
ENSMUSG00000029304,Spp1,secreted phosphoprotein 1,NCBIGene:20750,
ENSMUSG00000031217,Efnb1,ephrin B1,NCBIGene:13641,
ENSMUSG00000003531,Dgcr6,DiGeorge syndrome critical region gene 6,NCBIGene:13353,
ENSMUSG00000021214,Akr1c18,"aldo-keto reductase family 1, member C18",NCBIGene:105349,
ENSMUSG00000026023,Cdk15,cyclin-dependent kinase 15,NCBIGene:271697,
ENSMUSG00000085562,2610028E06Rik,RIKEN cDNA 2610028E06 gene,NCBIGene:72395,
ENSMUSG00000015112,Slc25a13,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13",NCBIGene:50799,
ENSMUSG00000039994,Timeless,timeless circadian clock 1,NCBIGene:21853,
ENSMUSG00000041193,Pla2g5,"phospholipase A2, group V",NCBIGene:18784,
ENSMUSG00000022150,Dab2,"disabled 2, mitogen-responsive phosphoprotein",NCBIGene:13132,
ENSMUSG00000068270,Shroom4,shroom family member 4,NCBIGene:208431,
ENSMUSG00000029561,Oasl2,2'-5' oligoadenylate synthetase-like 2,NCBIGene:23962,
ENSMUSG00000044986,Tst,"thiosulfate sulfurtransferase, mitochondrial",NCBIGene:22117,
ENSMUSG00000086181,C230034O21Rik,RIKEN cDNA C230034O21 gene,,
ENSMUSG00000042851,Zc3h6,zinc finger CCCH type containing 6,NCBIGene:78751,
ENSMUSG00000046402,Rbp1,"retinol binding protein 1, cellular",NCBIGene:19659,
ENSMUSG00000073529,F830208F22Rik,RIKEN cDNA F830208F22 gene,NCBIGene:619308,
ENSMUSG00000021534,1700001L19Rik,RIKEN cDNA 1700001L19 gene,NCBIGene:69315,
ENSMUSG00000053931,Cnn3,"calponin 3, acidic",NCBIGene:71994,
ENSMUSG00000024053,Emilin2,elastin microfibril interfacer 2,NCBIGene:246707,
ENSMUSG00000015846,Rxra,retinoid X receptor alpha,NCBIGene:20181,
ENSMUSG00000027313,Chac1,"ChaC, cation transport regulator 1",NCBIGene:69065,
ENSMUSG00000058070,Eml1,echinoderm microtubule associated protein like 1,NCBIGene:68519,
ENSMUSG00000110358,A730009L09Rik,RIKEN cDNA A730009L09 gene,,
ENSMUSG00000067649,Mageb18,"melanoma antigen family B, 18",NCBIGene:215641,
ENSMUSG00000027793,Ccna1,cyclin A1,NCBIGene:12427,
ENSMUSG00000074896,Ifit3,interferon-induced protein with tetratricopeptide repeats 3,NCBIGene:15959,
ENSMUSG00000051650,B3gnt2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",NCBIGene:53625,
ENSMUSG00000022449,Adamts20,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20",NCBIGene:223838,
ENSMUSG00000038777,Sema6c,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C",NCBIGene:20360,
ENSMUSG00000041649,Klf8,Kruppel-like factor 8,NCBIGene:245671,
ENSMUSG00000037846,Rtkn2,rhotekin 2,NCBIGene:170799,
ENSMUSG00000086587,Gm11837,predicted gene 11837,NCBIGene:100038514,
ENSMUSG00000063838,Cdc42ep5,CDC42 effector protein (Rho GTPase binding) 5,NCBIGene:58804,
ENSMUSG00000034570,Inpp5j,inositol polyphosphate 5-phosphatase J,NCBIGene:170835,
ENSMUSG00000037946,Fgd3,"FYVE, RhoGEF and PH domain containing 3",NCBIGene:30938,
ENSMUSG00000109887,Gm28756,predicted gene 28756,,
ENSMUSG00000020067,Mypn,myopalladin,NCBIGene:68802,
ENSMUSG00000039168,Dap,death-associated protein,NCBIGene:223453,
ENSMUSG00000043822,Adamtsl5,ADAMTS-like 5,NCBIGene:66548,
ENSMUSG00000045246,Kcng4,"potassium voltage-gated channel, subfamily G, member 4",NCBIGene:66733,
ENSMUSG00000040164,Kcns1,"K+ voltage-gated channel, subfamily S, 1",NCBIGene:16538,
ENSMUSG00000031994,Adamts8,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8",NCBIGene:30806,
ENSMUSG00000033705,Stard9,START domain containing 9,NCBIGene:668880,
ENSMUSG00000026483,Fam129a,"family with sequence similarity 129, member A",NCBIGene:63913,
ENSMUSG00000087165,2010001A14Rik,RIKEN cDNA 2010001A14 gene,NCBIGene:76516,
ENSMUSG00000030790,Adm,adrenomedullin,NCBIGene:11535,
ENSMUSG00000097804,Gm16685,"predicted gene, 16685",NCBIGene:102634900,
ENSMUSG00000040329,Il7,interleukin 7,NCBIGene:16196,
ENSMUSG00000071604,Fam189a2,"family with sequence similarity 189, member A2",NCBIGene:381217,
ENSMUSG00000111950,Gm48893,"predicted gene, 48893",,
ENSMUSG00000097145,9230114K14Rik,RIKEN cDNA 9230114K14 gene,NCBIGene:414108,
ENSMUSG00000058056,Palld,"palladin, cytoskeletal associated protein",NCBIGene:72333,
ENSMUSG00000049090,Zadh2,"zinc binding alcohol dehydrogenase, domain containing 2",NCBIGene:225791,
ENSMUSG00000021696,Elovl7,"ELOVL family member 7, elongation of long chain fatty acids (yeast)",NCBIGene:74559,
ENSMUSG00000029816,Gpnmb,glycoprotein (transmembrane) nmb,NCBIGene:93695,
ENSMUSG00000084865,Gm15723,predicted gene 15723,NCBIGene:102633245,
ENSMUSG00000051236,Msrb3,methionine sulfoxide reductase B3,NCBIGene:320183,
ENSMUSG00000053897,Slc39a8,"solute carrier family 39 (metal ion transporter), member 8",NCBIGene:67547,
ENSMUSG00000056220,Pla2g4a,"phospholipase A2, group IVA (cytosolic, calcium-dependent)",NCBIGene:18783,
ENSMUSG00000054702,Ap1s3,"adaptor-related protein complex AP-1, sigma 3",NCBIGene:252903,
ENSMUSG00000052276,Ostn,osteocrin,NCBIGene:239790,
ENSMUSG00000028188,Spata1,spermatogenesis associated 1,NCBIGene:70951,
ENSMUSG00000022856,Tmem41a,transmembrane protein 41a,NCBIGene:66664,
ENSMUSG00000090486,BC035947,cDNA sequence BC035947,,
ENSMUSG00000041608,Entpd3,ectonucleoside triphosphate diphosphohydrolase 3,NCBIGene:215446,
ENSMUSG00000110406,4930470O06Rik,RIKEN cDNA 4930470O06 gene,NCBIGene:75017,
ENSMUSG00000021367,Edn1,endothelin 1,NCBIGene:13614,
ENSMUSG00000056055,Sag,"S-antigen, retina and pineal gland (arrestin)",NCBIGene:20215,
ENSMUSG00000029755,Dlx5,distal-less homeobox 5,NCBIGene:13395,
